subject,file,link,lineno,NOC,NOFF,NOO,experience-based,statistics-based,tuning machine,smell
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L298,298,56,2,11,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L302,302,50,1,9,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L311,311,52,1,9,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L330,330,25,1,5,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L399,399,25,1,5,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L549,549,43,1,6,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L556,556,54,1,6,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L560,560,62,1,15,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L584,584,97,1,15,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/sort/sort.py,https://github.com/deepfakes/faceswap/blame/master/tools/sort/sort.py#L606,606,25,1,5,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/mask/mask.py,https://github.com/deepfakes/faceswap/blame/master/tools/mask/mask.py#L170,170,72,2,18,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/mask/mask.py,https://github.com/deepfakes/faceswap/blame/master/tools/mask/mask.py#L218,218,91,1,12,1,0,0,True
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/mask/mask.py,https://github.com/deepfakes/faceswap/blame/master/tools/mask/mask.py#L222,222,64,1,6,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/effmpeg/effmpeg.py,https://github.com/deepfakes/faceswap/blame/master/tools/effmpeg/effmpeg.py#L459,459,49,1,9,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/effmpeg/effmpeg.py,https://github.com/deepfakes/faceswap/blame/master/tools/effmpeg/effmpeg.py#L493,493,35,1,8,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/effmpeg/effmpeg.py,https://github.com/deepfakes/faceswap/blame/master/tools/effmpeg/effmpeg.py#L494,494,33,1,8,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/effmpeg/effmpeg.py,https://github.com/deepfakes/faceswap/blame/master/tools/effmpeg/effmpeg.py#L511,511,33,1,6,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/detected_faces.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/detected_faces.py#L129,129,39,1,6,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/detected_faces.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/detected_faces.py#L278,278,35,1,5,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/detected_faces.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/detected_faces.py#L324,324,53,1,7,0,0,0,False
faceswap,/Users/joaocorreia/PycharmProjects/Pysmell/pysmell/subjects/faceswap/tools/manual/detected_faces.py,https://github.com/deepfakes/faceswap/blame/master/tools/manual/detected_faces.py#L434,434,47,2,6,0,0,0,False
